date,RELIANCE,TCS,HDFCBANK,INFY,ICICIBANK,WIPRO,BAJFINANCE,HCLTECH,market_nifty50
2025-01-02,2396.73,3793.18,1648.56,1496.77,1018.86,489.17,7241.65,1315.76,16967.46
2025-01-03,2402.81,3809.43,1678.65,1512.71,1021.36,484.14,7137.23,1321.67,17196.66
2025-01-06,2406.23,3806.4,1693.38,1480.94,1017.39,488.09,7236.45,1317.96,17056.49
2025-01-07,2417.11,3854.11,1666.46,1494.75,995.09,469.3,7176.36,1300.91,17131.4
2025-01-08,2443.13,3786.72,1688.97,1473.48,994.6,467.61,7194.42,1317.93,17095.76
2025-01-09,2457.91,3826.67,1702.44,1460.8,984.69,464.69,7254.06,1314.04,17350.36
2025-01-10,2429.67,3766.66,1723.43,1493.12,992.95,470.89,7415.07,1313.24,16786.56
2025-01-13,2412.22,3823.51,1687.49,1495.07,997.52,469.04,7501.49,1325.73,17348.21
2025-01-14,2436.58,3791.62,1674.62,1477.62,1012.57,465.43,7499.59,1341.69,16891.48
2025-01-15,2427.8,3689.93,1648.77,1466.22,1019.69,474.13,7503.51,1348.02,17025.2
2025-01-16,2469.25,3742.33,1656.86,1445.16,1034.32,477.22,7647.61,1348.49,17292.97
2025-01-17,2457.93,3834.75,1661.05,1435.12,1017.64,476.52,7817.0,1366.08,17103.33
2025-01-20,2372.3,3878.71,1676.23,1424.43,1008.88,476.88,8025.5,1345.55,16935.83
2025-01-21,2422.66,3855.86,1668.41,1427.66,990.9,478.83,7886.3,1364.49,17000.48
2025-01-22,2507.58,3875.19,1703.92,1400.89,989.88,481.53,8099.12,1331.18,17148.59
2025-01-23,2531.83,3967.43,1723.49,1403.1,982.93,472.9,8129.34,1328.42,17303.04
2025-01-24,2510.65,3989.67,1684.31,1395.9,987.57,479.12,8312.43,1328.6,16832.41
2025-01-27,2529.9,4023.8,1698.08,1382.35,1005.15,480.13,8406.34,1355.05,17091.39
2025-01-28,2542.8,4156.96,1705.65,1377.32,1007.64,491.19,8428.03,1366.69,17179.36
2025-01-29,2525.27,4052.63,1714.68,1383.17,999.26,498.0,8511.58,1347.39,17077.73
2025-01-30,2519.86,3965.72,1727.7,1383.34,988.89,502.3,8580.71,1336.8,17060.05
2025-01-31,2560.24,3926.5,1738.95,1384.5,1023.29,488.67,8677.07,1331.73,16984.97
2025-02-03,2635.32,3929.14,1798.79,1376.43,1029.49,485.46,8594.11,1334.04,16957.61
2025-02-04,2645.43,3808.22,1854.26,1374.08,1057.23,478.51,8638.7,1398.44,16869.54
2025-02-05,2588.21,3780.05,1868.89,1389.47,1078.54,477.05,8437.99,1390.43,17186.03
2025-02-06,2608.36,3672.11,1869.4,1419.72,1113.81,481.45,8483.89,1365.68,16873.51
2025-02-07,2612.28,3702.76,1887.16,1410.67,1095.46,476.22,8343.44,1379.95,16653.16
2025-02-10,2601.31,3730.71,1931.75,1413.31,1112.79,473.75,8256.95,1367.09,17229.1
2025-02-11,2642.19,3760.97,2029.79,1413.76,1124.04,476.31,8236.07,1415.68,17225.99
2025-02-12,2588.84,3741.42,2044.46,1431.5,1102.2,460.58,8007.14,1415.3,16984.52
2025-02-13,2604.32,3701.22,2008.55,1389.21,1108.52,463.51,8132.81,1433.22,16971.39
2025-02-14,2659.11,3696.61,1990.25,1379.47,1099.68,448.82,8158.39,1439.74,16945.66
2025-02-17,2632.76,3720.18,2043.1,1381.37,1092.19,445.2,8156.38,1413.58,16981.21
2025-02-18,2637.28,3826.09,2073.65,1403.9,1081.38,450.03,8023.51,1421.33,17062.81
2025-02-19,2609.07,3943.9,2092.96,1364.95,1091.21,447.64,8030.09,1432.4,17058.58
2025-02-20,2531.35,3878.53,2118.89,1392.68,1123.23,460.11,7788.92,1450.08,16712.56
2025-02-21,2594.64,3896.37,2084.31,1435.78,1134.98,447.43,7829.44,1435.34,17016.69
2025-02-24,2578.61,3979.76,2041.48,1443.76,1166.77,442.24,7860.44,1440.84,16896.54
2025-02-25,2605.73,3988.74,2014.21,1483.07,1181.56,441.49,7791.66,1425.04,17184.64
2025-02-26,2602.09,4019.42,2010.25,1497.97,1180.45,446.9,7776.48,1443.91,17100.86
2025-02-27,2599.62,3970.8,1983.51,1482.52,1163.96,453.06,7777.27,1479.07,17341.9
2025-02-28,2602.64,3881.77,1973.75,1482.03,1138.9,451.72,7816.97,1470.06,16884.74
2025-03-03,2575.1,3988.91,1970.6,1464.77,1133.44,458.55,7742.94,1481.86,17109.18
2025-03-04,2606.1,4075.85,1955.9,1490.83,1120.87,456.19,7888.05,1501.33,17000.31
2025-03-05,2561.61,4113.45,1938.97,1471.36,1110.87,458.24,7643.4,1510.66,17026.09
2025-03-06,2541.2,4180.72,1958.3,1459.16,1100.59,463.38,7475.7,1504.33,16905.34
2025-03-07,2545.9,4197.3,1960.95,1485.17,1105.24,461.56,7345.9,1521.82,17079.22
2025-03-10,2603.34,4153.6,1963.3,1485.05,1104.67,462.0,7162.85,1541.87,17097.98
2025-03-11,2649.57,4297.08,1955.48,1485.43,1105.72,475.83,6982.57,1554.34,16779.38
2025-03-12,2549.09,4170.26,1916.51,1510.44,1092.2,474.59,6866.29,1569.83,16834.71
2025-03-13,2601.51,4111.47,1896.06,1514.43,1093.48,485.11,6884.18,1542.64,16915.95
2025-03-14,2581.24,4159.47,1908.49,1512.93,1108.62,481.65,6875.62,1548.06,17229.23
2025-03-17,2579.49,4140.91,1880.08,1529.71,1099.73,484.52,6685.0,1573.52,16800.21
2025-03-18,2551.48,4209.98,1843.95,1529.11,1101.83,477.65,6825.01,1610.15,16704.26
2025-03-19,2498.07,4264.39,1809.38,1521.42,1104.85,482.99,6807.61,1613.74,16883.49
2025-03-20,2548.49,4236.12,1820.05,1510.96,1107.5,482.16,6796.47,1590.49,17119.46
2025-03-21,2604.58,4254.96,1841.5,1531.16,1123.8,484.74,6823.55,1612.38,17010.32
2025-03-24,2568.61,4259.89,1790.81,1532.25,1131.67,494.11,6844.49,1636.12,16999.92
2025-03-25,2531.23,4173.11,1766.19,1502.08,1143.33,492.97,6908.52,1639.23,17156.61
2025-03-26,2573.51,4136.05,1760.34,1491.28,1116.44,498.36,7037.24,1640.38,16926.02
2025-03-27,2617.68,3993.88,1766.43,1495.68,1107.77,509.16,7145.34,1635.27,16987.0
2025-03-28,2604.54,3966.39,1733.18,1527.84,1125.74,515.66,7033.77,1687.62,17297.02
2025-03-31,2613.97,3915.77,1712.04,1538.65,1111.22,515.81,7154.26,1650.83,17300.86
2025-04-01,2677.49,3846.24,1677.11,1533.34,1094.92,514.18,6882.99,1646.49,17270.43
2025-04-02,2634.79,3833.56,1640.98,1549.25,1092.1,529.56,6909.85,1638.62,17082.54
2025-04-03,2616.89,3759.61,1649.73,1546.43,1095.7,532.97,6862.48,1650.29,17260.65
2025-04-04,2575.5,3860.6,1645.04,1529.88,1136.47,534.64,7009.04,1671.85,16747.91
2025-04-07,2582.23,3833.27,1613.25,1490.45,1139.12,539.8,7055.72,1665.52,16880.22
2025-04-08,2546.07,3804.42,1589.54,1487.1,1139.64,532.98,7036.81,1647.86,16999.33
2025-04-09,2567.47,3817.63,1602.07,1451.44,1134.08,535.62,7110.12,1609.68,17023.88
2025-04-10,2615.99,3810.46,1601.07,1462.41,1139.19,541.47,7123.53,1614.65,16882.63
2025-04-11,2611.39,3885.13,1597.45,1459.88,1131.7,548.3,7037.9,1637.99,16859.45
2025-04-14,2572.04,3900.24,1601.85,1467.56,1150.64,545.35,7090.3,1616.95,17188.88
2025-04-15,2598.5,3934.75,1607.65,1451.44,1145.91,549.89,7093.93,1621.24,16796.03
2025-04-16,2607.64,3897.06,1582.81,1449.23,1114.92,556.09,7190.27,1621.24,16850.93
2025-04-17,2572.75,3891.34,1526.53,1454.31,1126.92,553.93,7142.7,1626.96,17052.6
2025-04-18,2617.03,3895.53,1511.96,1445.41,1130.9,567.3,7114.1,1602.58,16869.48
2025-04-21,2536.83,3917.92,1482.3,1419.82,1098.28,558.24,7180.45,1572.34,16737.55
2025-04-22,2545.64,3901.0,1493.1,1436.73,1099.02,547.82,7172.86,1585.4,16912.55
2025-04-23,2492.79,3968.64,1484.99,1429.06,1100.16,556.73,7206.96,1578.74,17102.32
2025-04-24,2575.07,4054.43,1501.17,1406.15,1162.96,547.17,7172.53,1563.43,17244.03
2025-04-25,2593.36,3970.88,1508.4,1418.81,1158.33,537.59,7100.26,1554.44,17003.41
2025-04-28,2575.21,4017.85,1488.11,1383.1,1146.41,548.9,7044.9,1610.26,17073.72
2025-04-29,2532.29,3970.78,1494.73,1359.77,1188.16,541.18,7122.49,1646.82,16983.62
2025-04-30,2496.49,3957.69,1504.05,1378.72,1190.12,530.25,7132.71,1631.5,16672.51
2025-05-01,2472.37,3875.82,1518.49,1420.03,1224.25,526.12,7088.41,1649.66,17159.19
2025-05-02,2458.82,3870.63,1569.97,1418.88,1216.32,527.49,7155.72,1625.7,16962.74
2025-05-05,2417.77,3857.57,1615.43,1435.8,1215.6,520.53,7128.02,1652.62,16915.75
2025-05-06,2472.31,3781.17,1609.69,1474.48,1179.96,530.23,6935.77,1651.71,16974.12
2025-05-07,2504.86,3605.28,1564.67,1463.14,1181.56,523.55,6918.34,1623.64,16939.81
2025-05-08,2475.05,3621.36,1579.57,1495.76,1170.87,521.47,6928.83,1617.76,16992.2
2025-05-09,2419.03,3644.45,1559.15,1475.49,1143.91,530.97,6919.76,1646.95,17040.85
2025-05-12,2359.16,3588.12,1578.12,1459.72,1126.12,529.97,6906.93,1623.27,16951.08
2025-05-13,2344.11,3451.59,1591.28,1443.12,1149.06,521.25,6748.8,1653.49,16762.24
